时间片	最大信息熵	最小信息熵	平均信息熵	时间片信息熵的统计
1	5.107815	5.035752	5.065455	[5.050173967685116, 5.040900308452557, 5.043455257750471, 5.072967286565322, 5.054480605648943, 5.06679955796379, 5.035752115304039, 5.046653039125513, 5.072229000521959, 5.082914536631655, 5.059798176792716, 5.1078146867122305, 5.08106390414601, 5.094960284422625, 5.083875047267879, 5.072818551698251, 5.0656739645236, 5.056893230660179, 5.0462238515128615, 5.073643465229139]
3	5.10163	5.03978	5.058488	[5.044006291315745, 5.04579905974186, 5.044878190375079, 5.045347606450529, 5.042159368334639, 5.052965257876252, 5.048738529254468, 5.047935140920483, 5.039779913427152, 5.044345752526103, 5.07284852392523, 5.082536383417372, 5.0716744772598386, 5.101629688780139, 5.090168059149479, 5.058417912334016, 5.054735596336162, 5.063910385562229, 5.058217970309527, 5.059665138955104]
5	5.059398	5.03784	5.050408	[5.05119045252485, 5.047500713973172, 5.052424866167788, 5.04458818714989, 5.0422596484910525, 5.049885584136989, 5.053795073756656, 5.0579014350942, 5.053157843519622, 5.059397934838535, 5.046651830715662, 5.037840083524322, 5.045912871481253, 5.04476174275147, 5.055628335102941, 5.052569269529584, 5.046056465050994, 5.0578754729864, 5.05025269138354, 5.058506112044525]
