序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
45	2023-03-23 19:26:25.383	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 90 71 
46	2023-03-23 19:26:25.383	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF BF 46 
47	2023-03-23 19:26:25.383	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 44 01 7E 01 00 00 
48	2023-03-23 19:26:25.383	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 1F 9D 
49	2023-03-23 19:26:25.385	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 1F 2E 
50	2023-03-23 19:26:25.385	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 44 01 7E 01 00 00 
51	2023-03-23 19:26:25.385	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 07 01 09 01 00 02 
52	2023-03-23 19:26:25.385	Ch0	0x3D9	标准帧	数据帧	CANFD加速	Rx	8	07 FF 37 0C C0 01 FF FF 
53	2023-03-23 19:26:25.389	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 43 01 7F 01 00 00 
54	2023-03-23 19:26:25.389	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 0A C7 
55	2023-03-23 19:26:25.389	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 08 50 FC 
56	2023-03-23 19:26:25.389	Ch0	0x3CD	标准帧	数据帧	CANFD加速	Rx	8	60 00 FF FF FF FF 00 00 
57	2023-03-23 19:26:25.389	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 43 01 7F 01 00 00 
58	2023-03-23 19:26:25.389	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 DF 5A 
59	2023-03-23 19:26:25.392	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 45 01 80 01 00 00 
60	2023-03-23 19:26:25.392	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 A0 61 
61	2023-03-23 19:26:25.392	Ch0	0x4EB	标准帧	数据帧	CANFD加速	Rx	8	09 00 F0 FF FF FF FF F0 
62	2023-03-23 19:26:25.392	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 1F 9C 
63	2023-03-23 19:26:25.396	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
64	2023-03-23 19:26:25.396	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
