序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
426	2023-03-23 19:26:25.898	Ch0	0x4C7	标准帧	数据帧	CANFD加速	Rx	64	00 00 00 00 00 00 80 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 8F 00 FF FF 80 0F FC FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 
427	2023-03-23 19:26:25.898	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
428	2023-03-23 19:26:25.898	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 2F D6 
429	2023-03-23 19:26:25.898	Ch0	0x3D9	标准帧	数据帧	CANFD加速	Rx	8	01 00 08 00 28 A0 01 00 
430	2023-03-23 19:26:25.898	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 80 81 
431	2023-03-23 19:26:25.898	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 50 5F 
432	2023-03-23 19:26:25.898	Ch0	0x49A	标准帧	数据帧	CANFD加速	Rx	8	00 00 70 00 00 00 00 8F 
433	2023-03-23 19:26:25.898	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 90 71 
434	2023-03-23 19:26:25.898	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 BF FD 
435	2023-03-23 19:26:25.898	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 BF 8E 
436	2023-03-23 19:26:25.898	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 0B 50 FC 
437	2023-03-23 19:26:25.898	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
438	2023-03-23 19:26:25.898	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 3F C6 
439	2023-03-23 19:26:25.898	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
440	2023-03-23 19:26:25.898	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
441	2023-03-23 19:26:25.898	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 09 50 FC 
442	2023-03-23 19:26:25.898	Ch0	0x4EB	标准帧	数据帧	CANFD加速	Rx	8	02 05 C8 00 00 00 00 00 
443	2023-03-23 19:26:25.898	Ch0	0x2EC	标准帧	数据帧	CANFD加速	Rx	8	A0 02 00 00 00 00 00 00 
444	2023-03-23 19:26:25.898	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 04 CD 
445	2023-03-23 19:26:25.902	Ch0	0x43E	标准帧	数据帧	CANFD加速	Rx	8	8C FF FF FF FF 00 04 20 
446	2023-03-23 19:26:25.902	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 A0 61 
447	2023-03-23 19:26:25.902	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 7F BA 
448	2023-03-23 19:26:25.902	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 BF FC 
449	2023-03-23 19:26:25.907	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 B0 2A 
450	2023-03-23 19:26:25.907	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 B1 C2 
451	2023-03-23 19:26:25.907	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F B0 43 
452	2023-03-23 19:26:25.907	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 7F 67 
453	2023-03-23 19:26:25.909	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 60 4F 
454	2023-03-23 19:26:25.909	Ch0	0x3BD	标准帧	数据帧	CANFD加速	Rx	64	FF FF FF FF 0F 00 05 14 14 00 FC DF D9 01 F0 FF FF F3 FF FF 31 03 F8 FF 0F C0 29 FF 03 10 42 08 21 E0 30 34 36 35 33 30 FE FF FE FF 14 FF 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 
455	2023-03-23 19:26:25.912	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E C0 15 
456	2023-03-23 19:26:25.912	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 CF 30 
457	2023-03-23 19:26:25.912	Ch0	0x427	标准帧	数据帧	CANFD加速	Rx	8	05 FE 00 FF FF FF FF FF 
458	2023-03-23 19:26:25.912	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 6F 90 
459	2023-03-23 19:26:25.916	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 B0 51 
460	2023-03-23 19:26:25.916	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 4F B6 
461	2023-03-23 19:26:25.921	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
462	2023-03-23 19:26:25.921	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF 5F DF 
463	2023-03-23 19:26:25.921	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 4F B0 
464	2023-03-23 19:26:25.921	Ch0	0x41C	标准帧	数据帧	CANFD加速	Rx	8	40 EF 01 F9 F7 08 A0 FF 
465	2023-03-23 19:26:25.921	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B E0 23 
466	2023-03-23 19:26:25.924	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
467	2023-03-23 19:26:25.924	Ch0	0x31E	标准帧	数据帧	CANFD加速	Rx	8	03 10 E0 FF FF FF 3F D0 
468	2023-03-23 19:26:25.924	Ch0	0x4A4	标准帧	数据帧	CANFD加速	Rx	8	01 F0 F0 E0 FF FF FF FF 
469	2023-03-23 19:26:25.927	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 C0 41 
470	2023-03-23 19:26:25.927	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 70 3F 
471	2023-03-23 19:26:25.930	Ch0	0x511	标准帧	数据帧	CANFD加速	Rx	8	11 00 00 00 00 00 00 EE 
472	2023-03-23 19:26:25.934	Ch0	0x2E9	标准帧	数据帧	CANFD加速	Rx	8	FF FF FF FF FF FF FF FF 
473	2023-03-23 19:26:25.938	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 5F A6 
474	2023-03-23 19:26:25.938	Ch0	0x4E1	标准帧	数据帧	CANFD加速	Rx	8	FF FF FF FF FF FF 00 00 
475	2023-03-23 19:26:25.938	Ch0	0x4DE	标准帧	数据帧	CANFD加速	Rx	8	01 F1 00 00 00 00 00 00 
476	2023-03-23 19:26:25.938	Ch0	0x4C2	标准帧	数据帧	CANFD加速	Rx	8	11 7F 00 00 1F 3F 00 00 
477	2023-03-23 19:26:25.938	Ch0	0x4C2	标准帧	数据帧	CANFD加速	Rx	8	10 7F 00 00 1F 3F 00 00 
478	2023-03-23 19:26:25.938	Ch0	0x42B	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
479	2023-03-23 19:26:25.938	Ch0	0x424	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
480	2023-03-23 19:26:25.938	Ch0	0x421	标准帧	数据帧	CANFD加速	Rx	8	A3 77 01 41 BD F7 DE 03 
481	2023-03-23 19:26:25.938	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 D0 31 
482	2023-03-23 19:26:25.938	Ch0	0x409	标准帧	数据帧	CANFD加速	Rx	8	03 00 00 00 00 00 00 00 
483	2023-03-23 19:26:25.940	Ch0	0x409	标准帧	数据帧	CANFD加速	Rx	8	01 00 00 00 00 00 00 00 
484	2023-03-23 19:26:25.940	Ch0	0x3EC	标准帧	数据帧	CANFD加速	Rx	8	FF 3F FF 3F FF 3F FF 3F 
485	2023-03-23 19:26:25.940	Ch0	0x3EA	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
486	2023-03-23 19:26:25.940	Ch0	0x3DC	标准帧	数据帧	CANFD加速	Rx	8	01 55 00 00 00 00 00 00 
487	2023-03-23 19:26:25.940	Ch0	0x3D5	标准帧	数据帧	CANFD加速	Rx	8	40 18 F9 1A 80 9B 9D 44 
488	2023-03-23 19:26:25.940	Ch0	0x3B7	标准帧	数据帧	CANFD加速	Rx	8	00 00 FF FF FF 03 00 00 
489	2023-03-23 19:26:25.940	Ch0	0x300	标准帧	数据帧	CANFD加速	Rx	8	FF FF 7F 0F 00 1F 3F 7F 
490	2023-03-23 19:26:25.940	Ch0	0x2D4	标准帧	数据帧	CANFD加速	Rx	8	C6 23 4D 8B 68 31 02 00 
491	2023-03-23 19:26:25.940	Ch0	0x2B6	标准帧	数据帧	CANFD加速	Rx	8	17 03 16 13 1A 15 33 00 
492	2023-03-23 19:26:25.944	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 CF ED 
493	2023-03-23 19:26:25.944	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 CF 7E 
494	2023-03-23 19:26:25.944	Ch0	0x323	标准帧	数据帧	CANFD加速	Rx	8	60 FF FE 0F FF FF AF E6 
495	2023-03-23 19:26:25.944	Ch0	0x151	标准帧	数据帧	CANFD加速	Rx	8	00 FD FF 00 F0 FF AF 65 
496	2023-03-23 19:26:25.944	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
497	2023-03-23 19:26:25.944	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
498	2023-03-23 19:26:25.944	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
499	2023-03-23 19:26:25.947	Ch0	0x4A5	标准帧	数据帧	CANFD加速	Rx	8	03 00 00 00 00 00 51 FE 
500	2023-03-23 19:26:25.950	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 E0 21 
501	2023-03-23 19:26:25.950	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 80 2F 
502	2023-03-23 19:26:25.950	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 05 CC 
503	2023-03-23 19:26:25.953	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 8F AA 
504	2023-03-23 19:26:25.953	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 CF EC 
505	2023-03-23 19:26:25.957	Ch0	0x535	标准帧	数据帧	CANFD加速	Rx	8	35 00 00 00 00 00 02 C8 
506	2023-03-23 19:26:25.957	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 C0 1A 
507	2023-03-23 19:26:25.957	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 C1 B2 
508	2023-03-23 19:26:25.957	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F C0 33 
509	2023-03-23 19:26:25.960	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 8F 57 
510	2023-03-23 19:26:25.960	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 F0 11 
511	2023-03-23 19:26:25.963	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 6F 96 
512	2023-03-23 19:26:25.963	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E D0 05 
513	2023-03-23 19:26:25.963	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 DF 20 
514	2023-03-23 19:26:25.968	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 7F 80 
515	2023-03-23 19:26:25.968	Ch0	0x4EB	标准帧	数据帧	CANFD加速	Rx	8	03 00 00 00 00 3C 19 19 
516	2023-03-23 19:26:25.970	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
517	2023-03-23 19:26:25.970	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF 6F CF 
518	2023-03-23 19:26:25.970	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 00 01 
519	2023-03-23 19:26:25.970	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 5F A0 
520	2023-03-23 19:26:25.974	Ch0	0x3DA	标准帧	数据帧	CANFD加速	Rx	8	00 B0 FF FF FF 00 00 0C 
521	2023-03-23 19:26:25.974	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 90 1F 
522	2023-03-23 19:26:25.974	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B F0 13 
523	2023-03-23 19:26:25.974	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
524	2023-03-23 19:26:25.978	Ch0	0x4FE	标准帧	数据帧	CANFD加速	Rx	8	68 D9 8B 0F FC C0 FF FF 
525	2023-03-23 19:26:25.981	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 10 F1 
526	2023-03-23 19:26:25.981	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 7F 86 
527	2023-03-23 19:26:25.990	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 20 E1 
528	2023-03-23 19:26:25.990	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 DF DD 
529	2023-03-23 19:26:25.994	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 DF 6E 
530	2023-03-23 19:26:25.994	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 A0 0F 
531	2023-03-23 19:26:25.994	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
532	2023-03-23 19:26:25.994	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
533	2023-03-23 19:26:25.994	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
534	2023-03-23 19:26:25.994	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 09 50 FC 
535	2023-03-23 19:26:25.994	Ch0	0x33F	标准帧	数据帧	CANFD加速	Rx	8	00 01 5D 00 00 00 00 7D 
536	2023-03-23 19:26:25.997	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 0B 50 FC 
537	2023-03-23 19:26:25.997	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 06 73 01 82 01 00 01 
538	2023-03-23 19:26:26.001	Ch0	0x2EC	标准帧	数据帧	CANFD加速	Rx	8	A0 02 00 00 00 00 00 00 
539	2023-03-23 19:26:26.001	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 06 73 01 82 01 00 01 
540	2023-03-23 19:26:26.001	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 30 D1 
541	2023-03-23 19:26:26.001	Ch0	0x43E	标准帧	数据帧	CANFD加速	Rx	8	8C FF FF FF FF 00 04 20 
542	2023-03-23 19:26:26.001	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 8F 76 
543	2023-03-23 19:26:26.001	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 06 78 01 83 01 00 01 
544	2023-03-23 19:26:26.003	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 06 CB 
545	2023-03-23 19:26:26.003	Ch0	0x427	标准帧	数据帧	CANFD加速	Rx	8	07 00 00 00 00 00 00 0A 
546	2023-03-23 19:26:26.007	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 9F 9A 
547	2023-03-23 19:26:26.007	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 06 78 01 83 01 00 01 
548	2023-03-23 19:26:26.007	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 DF DC 
549	2023-03-23 19:26:26.007	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 D0 0A 
550	2023-03-23 19:26:26.007	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 D1 A2 
551	2023-03-23 19:26:26.007	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F D0 23 
552	2023-03-23 19:26:26.012	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 9F 47 
553	2023-03-23 19:26:26.012	Ch0	0x3D9	标准帧	数据帧	CANFD加速	Rx	8	02 80 38 00 00 00 F0 FF 
554	2023-03-23 19:26:26.012	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 40 C1 
555	2023-03-23 19:26:26.016	Ch0	0x3BD	标准帧	数据帧	CANFD加速	Rx	64	FF FF FF FF 0F 00 05 14 14 00 FC DF D9 01 F0 FF FF F3 FF FF 31 03 F8 FF 0F C0 29 FF 03 10 42 08 21 E0 30 34 36 35 33 30 FE FF FE FF 14 FF 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 
556	2023-03-23 19:26:26.016	Ch0	0x426	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
557	2023-03-23 19:26:26.016	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E E0 F5 
558	2023-03-23 19:26:26.016	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 EF 10 
559	2023-03-23 19:26:26.016	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 8F 70 
560	2023-03-23 19:26:26.016	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 B0 FF 
561	2023-03-23 19:26:26.018	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
562	2023-03-23 19:26:26.021	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF 7F BF 
563	2023-03-23 19:26:26.021	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 9F 66 
564	2023-03-23 19:26:26.026	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 6F 90 
565	2023-03-23 19:26:26.026	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B 00 03 
566	2023-03-23 19:26:26.026	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
567	2023-03-23 19:26:26.026	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 50 B1 
568	2023-03-23 19:26:26.029	Ch0	0x31E	标准帧	数据帧	CANFD加速	Rx	8	03 10 E0 FF FF FF 3F D0 
569	2023-03-23 19:26:26.029	Ch0	0x521	标准帧	数据帧	CANFD加速	Rx	8	21 10 00 00 00 00 03 CB 
570	2023-03-23 19:26:26.029	Ch0	0x3CD	标准帧	数据帧	CANFD加速	Rx	8	61 00 FF FF FF FF 00 00 
571	2023-03-23 19:26:26.034	Ch0	0x4A5	标准帧	数据帧	CANFD加速	Rx	8	04 37 0C 60 16 01 FE EF 
572	2023-03-23 19:26:26.037	Ch0	0x434	标准帧	数据帧	CANFD加速	Rx	8	00 00 08 00 79 04 02 78 
573	2023-03-23 19:26:26.037	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 60 A1 
574	2023-03-23 19:26:26.037	Ch0	0x4EB	标准帧	数据帧	CANFD加速	Rx	8	04 2E 2E 14 14 14 14 2D 
575	2023-03-23 19:26:26.040	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 C0 EF 
576	2023-03-23 19:26:26.040	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF AF 56 
577	2023-03-23 19:26:26.045	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 EF CD 
578	2023-03-23 19:26:26.045	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 EF 5E 
579	2023-03-23 19:26:26.045	Ch0	0x323	标准帧	数据帧	CANFD加速	Rx	8	60 FF FE 0F FF FF BF D6 
580	2023-03-23 19:26:26.045	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
581	2023-03-23 19:26:26.045	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
582	2023-03-23 19:26:26.045	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
583	2023-03-23 19:26:26.045	Ch0	0x151	标准帧	数据帧	CANFD加速	Rx	8	00 FD FF 00 F0 FF BF 55 
584	2023-03-23 19:26:26.048	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 70 91 
585	2023-03-23 19:26:26.054	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 07 CA 
586	2023-03-23 19:26:26.054	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 AF 8A 
587	2023-03-23 19:26:26.057	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 EF CC 
588	2023-03-23 19:26:26.057	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 E0 FA 
589	2023-03-23 19:26:26.057	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 E1 92 
590	2023-03-23 19:26:26.057	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F E0 13 
591	2023-03-23 19:26:26.061	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 AF 37 
592	2023-03-23 19:26:26.061	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 D0 DF 
593	2023-03-23 19:26:26.061	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 80 81 
594	2023-03-23 19:26:26.064	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF BF 46 
595	2023-03-23 19:26:26.064	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E F0 E5 
596	2023-03-23 19:26:26.064	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 FF 00 
597	2023-03-23 19:26:26.067	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 9F 60 
598	2023-03-23 19:26:26.071	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
599	2023-03-23 19:26:26.071	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF 8F AF 
600	2023-03-23 19:26:26.071	Ch0	0x41A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 0A 09 10 00 C0 FF 
601	2023-03-23 19:26:26.071	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 90 71 
602	2023-03-23 19:26:26.075	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 7F 80 
603	2023-03-23 19:26:26.075	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B 10 F3 
604	2023-03-23 19:26:26.075	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
605	2023-03-23 19:26:26.081	Ch0	0x3CD	标准帧	数据帧	CANFD加速	Rx	8	61 00 FF FF FF FF 00 00 
606	2023-03-23 19:26:26.081	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 E0 CF 
607	2023-03-23 19:26:26.083	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 A0 61 
608	2023-03-23 19:26:26.083	Ch0	0x31D	标准帧	数据帧	CANFD加速	Rx	8	91 01 00 00 00 00 D0 9D 
609	2023-03-23 19:26:26.083	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF CF 36 
610	2023-03-23 19:26:26.093	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 FF BD 
611	2023-03-23 19:26:26.093	Ch0	0x427	标准帧	数据帧	CANFD加速	Rx	8	08 00 14 00 00 00 00 00 
612	2023-03-23 19:26:26.093	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 FF 4E 
613	2023-03-23 19:26:26.093	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
614	2023-03-23 19:26:26.093	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
