时间片	最大信息熵	最小信息熵	平均信息熵	时间片信息熵的统计
1	2.319016	2.316055	2.317152	[2.319016166138134, 2.3183692540329317, 2.316333280562803, 2.316333280562803, 2.3183692540329317, 2.316333280562803, 2.316333280562803, 2.316333280562803, 2.316333280562803, 2.3183692540329317, 2.3160552269055312, 2.3160552269055312, 2.316333280562803, 2.316333280562803, 2.3183692540329317, 2.3183692540329317, 2.3183692540329317, 2.316333280562803, 2.3183692540329317, 2.316333280562803]
2	2.320919	2.320377	2.320513	[2.3209194990354183, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3209194990354183, 2.3209194990354183, 2.3203769580956886, 2.3203769580956886, 2.3209194990354183, 2.3203769580956886, 2.3203769580956886, 2.3203769580956886, 2.3209194990354183, 2.3203769580956886, 2.3203769580956886]
