ID	最大时间	最小时间	平均时间	报文时间间隔
0x25d	10	10	10.0	[10]
0x294	10	10	10.0	[10]
0x144	50	50	50.0	[50]
0x2dd	28	28	28.0	[28]
0x27b	3	3	3.0	[3]
0x2ec	7	7	7.0	[7]
0x28f	23	23	23.0	[23]
0x426	7	7	7.0	[7]
0x275	3	3	3.0	[3]
