0x102,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 15, 16, 23, 24, 30, 31, 31, 36, 46, 47, 47, 52, 55]"
0x104,"[13, 13]"
0x105,"[0, 3, 4, 5, 6, 7, 12, 15]"
0x10e,"[0, 1, 2, 5, 6, 7, 12, 15, 60, 63]"
0x122,"[8, 9, 11, 11, 21, 23]"
0x12c,"[4, 7, 20, 20]"
0x12d,"[0, 1, 2, 5, 12, 15]"
0x12e,"[3, 3]"
0x190,"[0, 1, 2, 5, 6, 7, 12, 15, 22, 23, 38, 47, 49, 51]"
0x195,"[0, 0, 1, 1, 2, 4, 5, 6, 7, 7, 12, 15, 16, 23, 24, 31]"
0x280,"[0, 0, 4, 4, 5, 5, 6, 6, 7, 7, 12, 15]"
0x281,"[2, 7, 12, 15]"
0x282,"[18, 23, 33, 39]"
0x283,"[0, 0, 1, 3, 4, 4, 5, 5, 12, 15]"
0x285,"[0, 1, 2, 2, 3, 6, 7, 7, 11, 15, 16, 23, 24, 27, 28, 47, 52, 55]"
0x2f0,"[15, 15]"
0x388,"[0, 2, 3, 4, 5, 6, 7, 7, 12, 15]"
0x400,"[10, 15]"
0x51e,"[24, 24]"
0x7e8,"[26, 31]"
0x7e9,"[26, 31]"
0x90,"[0, 1, 4, 6, 7, 7, 12, 15]"
0x91,"[0, 0, 1, 3, 4, 4, 5, 5, 12, 15, 34, 39]"
0x92,"[0, 1, 2, 5, 6, 7, 12, 15, 16, 23, 31, 39, 47, 47, 51, 55, 63, 63]"
0x93,"[0, 1, 2, 5, 6, 7, 12, 15, 16, 23, 31, 39, 47, 55, 62, 63]"
0x94,"[0, 3, 4, 4, 5, 6, 7, 7, 8, 11, 12, 12, 13, 14, 15, 15, 16, 19, 20, 20, 21, 22, 23, 23, 24, 27, 28, 28, 29, 30, 31, 31]"
0x95,"[0, 0, 1, 1, 2, 7, 8, 15]"
0x96,"[0, 0, 1, 3, 4, 4, 5, 5, 12, 15]"
0xa0,"[0, 1, 2, 5, 6, 7, 8, 9, 11, 15, 16, 27, 28, 39, 41, 43, 45, 46, 47, 51, 52, 52, 56, 63]"
0xa1,"[2, 5, 8, 15, 16, 23, 41, 43, 45, 47]"
0xb0,"[0, 1, 2, 5, 6, 7, 12, 15, 16, 23, 24, 27, 28, 31, 35, 39, 40, 47, 48, 51, 52, 63]"
0xb1,"[0, 1, 2, 5, 6, 7, 12, 15, 16, 23, 24, 27, 28, 31, 38, 47, 52, 55, 60, 61, 63, 63]"
0xb2,"[0, 1, 2, 5, 6, 7, 11, 15, 16, 23, 26, 31, 32, 36, 43, 47, 48, 55, 56, 63]"
0xf0,"[12, 15]"
0xf5,"[0, 2, 7, 7, 12, 15, 16, 16, 17, 19, 20, 22, 23, 23, 24, 31, 32, 39, 41, 47]"
