ID	数据域
0x27b	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20]
0x287	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20]
0x28f	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.086359830674748, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.086359830674748, -20, -20, -20, -20]
0x294	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, 1.2041199826559246, 1.2041199826559246, 1.4913616938342726, 1.785329835010767, 2.08278537031645]
0x296	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20]
0x2a6	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.2041199826559246, 1.4913616938342726, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20]
0x2b0	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20]
0x2b6	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 0.0, 0.30102999566398114, 0.47712125471966244, 0.6020599913279623, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20]
0x2c0	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20]
0x2d4	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20]
0x2d7	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 0.0, 0.30102999566398114, 0.6989700043360187, -20, -20, -20, -20, -20, 0.0, 0.47712125471966244, 0.6989700043360187, -20, -20, -20, -20]
0x2dd	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20]
